site_id,site_name,district,village,latitude,longitude,site_type,capacity,toilets,child_friendly_space,status,source
ASM_RELOC_041,Dudhnoi College Campus,Goalpara,Dudhnoi,25.9862,90.7321,College / Campus,1200,16,Yes,Designated Major Shelter,Goalpara DDMP (DDMA Goalpara / ASDMA)
ASM_RELOC_042,Lakhipur Higher Secondary School,Goalpara,Lakhipur Town,26.0289,90.3125,Higher Secondary School,650,10,Yes,Designated Relief Camp,Goalpara DDMP (DDMA Goalpara / ASDMA)
ASM_RELOC_043,Balijana High School,Goalpara,Balijana,26.1284,90.5482,High School,450,6,Yes,Designated Relief Camp,Goalpara DDMP (DDMA Goalpara / ASDMA)
ASM_RELOC_044,Matia High School & Raised Ground,Goalpara,Matia,26.1152,90.7124,School & Raised Ground,600,8,Yes,Designated Relief Camp,Goalpara DDMP (DDMA Goalpara / ASDMA)
ASM_RELOC_045,Chunari High School,Goalpara,Chunari,26.0821,90.3845,High School / Flood Shelter,550,6,No,Designated Relief Camp,Goalpara DDMP (DDMA Goalpara / ASDMA)
ASM_RELOC_046,Jaleswar Higher Secondary School,Goalpara,Jaleswar,26.0521,89.9854,Higher Secondary School,700,8,Yes,Designated Relief Camp,Goalpara DDMP (DDMA Goalpara / ASDMA)
ASM_RELOC_047,Krishnai High School,Goalpara,Krishnai,25.9924,90.6582,High School,500,8,Yes,Designated Relief Camp,Goalpara DDMP (DDMA Goalpara / ASDMA)
ASM_RELOC_048,Rangjuli High School,Goalpara,Rangjuli,25.9685,90.8951,High School,500,8,Yes,Designated Relief Camp,Goalpara DDMP (DDMA Goalpara / ASDMA)
ASM_RELOC_049,Dhakuakhana Higher Secondary School,Lakhimpur,Dhakuakhana Town,27.2415,94.4485,Higher Secondary School,750,10,Yes,Designated Relief Center,Lakhimpur DDMP (DDMA Lakhimpur / ASDMA)
ASM_RELOC_050,Bihpuria College Relief Campus,Lakhimpur,Bihpuria Town,27.0285,93.9124,College / Campus,1000,14,Yes,Designated Major Shelter,Lakhimpur DDMP (DDMA Lakhimpur / ASDMA)
ASM_RELOC_051,Narayanpur Higher Secondary School,Lakhimpur,Narayanpur,26.9942,93.8562,Higher Secondary School,650,8,Yes,Designated Relief Camp,Lakhimpur DDMP (DDMA Lakhimpur / ASDMA)
ASM_RELOC_052,Kadam High School,Lakhimpur,Kadam,27.3124,94.1852,High School,500,6,No,Designated Relief Camp,Lakhimpur DDMP (DDMA Lakhimpur / ASDMA)
ASM_RELOC_053,Naoboicha Higher Secondary School,Lakhimpur,Naoboicha,27.2154,94.0845,Higher Secondary School,650,8,Yes,Designated Relief Center,Lakhimpur DDMP (DDMA Lakhimpur / ASDMA)
ASM_RELOC_054,Ghilamara Higher Secondary School,Lakhimpur,Ghilamara,27.2845,94.3852,Higher Secondary School,700,10,Yes,Designated Relief Center,Lakhimpur DDMP (DDMA Lakhimpur / ASDMA)
ASM_RELOC_055,Telahi Kamalabari Multi-Purpose Raised Platform,Lakhimpur,Telahi,27.185,94.152,Multi-Purpose Raised Platform,1500,12,Yes,Designated Flood Platform,Lakhimpur DDMP / ASDMA GIS Utility Portal
ASM_RELOC_056,Subansiri Riverine Raised Platform,Lakhimpur,Bihpuria Floodplain,27.0541,93.9852,Community Raised Platform,1200,10,Yes,Designated Flood Platform,Lakhimpur DDMP / ASDMA GIS Utility Portal
ASM_RELOC_057,Laluk Higher Secondary School,Lakhimpur,Laluk,27.1824,93.9954,Higher Secondary School,600,8,Yes,Designated Relief Camp,Lakhimpur DDMP (DDMA Lakhimpur / ASDMA)
ASM_RELOC_058,Barpeta Govt Higher Secondary School,Barpeta,Barpeta Town,26.3214,91.0085,Higher Secondary School,800,10,Yes,Designated Major Shelter,Barpeta DDMP (DDMA Barpeta / ASDMA)
ASM_RELOC_059,Sarthebari Higher Secondary School,Barpeta,Sarthebari,26.3458,91.0185,Higher Secondary School,700,8,Yes,Designated Relief Camp,Barpeta DDMP (DDMA Barpeta / ASDMA)
ASM_RELOC_060,Chenga High School,Barpeta,Chenga,26.2514,91.0542,High School,550,6,No,Designated Relief Camp,Barpeta DDMP (DDMA Barpeta / ASDMA)
ASM_RELOC_061,Baghbor High School & Raised Ground,Barpeta,Baghbor,26.2185,90.8752,School & Raised Ground,600,6,No,Designated Relief Camp,Barpeta DDMP (DDMA Barpeta / ASDMA)
ASM_RELOC_062,Mandia High School,Barpeta,Mandia,26.2845,90.9521,High School,600,8,Yes,Designated Relief Center,Barpeta DDMP (DDMA Barpeta / ASDMA)
ASM_RELOC_063,Howly High School,Barpeta,Howly,26.4285,90.9741,High School,700,10,Yes,Designated Relief Camp,Barpeta DDMP (DDMA Barpeta / ASDMA)
ASM_RELOC_064,Morigaon Higher Secondary School,Morigaon,Morigaon Town,26.2584,92.3412,Higher Secondary School,900,12,Yes,Designated Major Shelter,Morigaon DDMP (DDMA Morigaon / ASDMA)
ASM_RELOC_065,Mayong Higher Secondary School,Morigaon,Mayong,26.2485,92.0354,Higher Secondary School,650,8,Yes,Designated Relief Center,Morigaon DDMP (DDMA Morigaon / ASDMA)
ASM_RELOC_066,Bhuragaon High School,Morigaon,Bhuragaon,26.3285,92.3521,High School,550,6,No,Designated Relief Camp,Morigaon DDMP (DDMA Morigaon / ASDMA)
ASM_RELOC_067,Laharighat Higher Secondary School,Morigaon,Laharighat,26.3154,92.3845,Higher Secondary School,650,8,Yes,Designated Relief Center,Morigaon DDMP (DDMA Morigaon / ASDMA)
ASM_RELOC_068,Jagiroad College Campus,Morigaon,Jagiroad,26.1954,92.2154,College / Campus,1500,18,Yes,Designated Major Shelter,Morigaon DDMP (DDMA Morigaon / ASDMA)
ASM_RELOC_900,Mankachar Primary School 1,Dhubri,Mankachar,25.528919,89.863408,Primary School,350,7,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_901,Mankachar Primary School 2,Dhubri,Mankachar,25.543861,89.857106,Primary School,564,11,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_902,Mankachar Primary School 3,Dhubri,Mankachar,25.52577,89.850716,Primary School,1204,24,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_903,Mankachar College 4,Dhubri,Mankachar,25.526526,89.853138,College,220,4,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_904,Mankachar Temple Trust Hall 5,Dhubri,Mankachar,25.54942,89.881165,Temple Trust Hall,931,18,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_905,Mankachar Primary School 6,Dhubri,Mankachar,25.548673,89.886195,Primary School,259,5,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_906,Mankachar Stadium 7,Dhubri,Mankachar,25.549634,89.85326,Stadium,1198,23,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_907,Mankachar Community Hall 8,Dhubri,Mankachar,25.543775,89.865787,Community Hall,312,6,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_908,Mankachar Primary School 9,Dhubri,Mankachar,25.547531,89.873781,Primary School,180,3,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_909,Mankachar Mosque Compound 10,Dhubri,Mankachar,25.548537,89.880075,Mosque Compound,1367,27,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_910,Mankachar Mosque Compound,Dhubri,Mankachar,25.926655,89.783579,Mosque Compound,1196,23,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_911,South Salmara High School,Dhubri,South Salmara,25.973012,89.961761,High School,658,13,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_912,Agamani High School,Dhubri,Agamani,25.644065,89.915581,High School,637,12,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_913,Fakirganj Government Shelter,Dhubri,Fakirganj,25.875182,89.946028,Government Shelter,203,4,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_914,South Salmara Primary School,Dhubri,South Salmara,25.764543,89.92929,Primary School,639,12,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_915,Gauripur Community Hall,Dhubri,Gauripur,26.018682,89.884475,Community Hall,770,15,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_916,Agamani Temple Trust Hall,Dhubri,Agamani,25.590309,89.863018,Temple Trust Hall,1003,20,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_917,Chapar Mosque Compound,Dhubri,Chapar,26.027897,89.951247,Mosque Compound,1477,29,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_918,South Salmara Mosque Compound,Dhubri,South Salmara,25.904376,89.94582,Mosque Compound,665,13,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_919,Chapar Mosque Compound,Dhubri,Chapar,25.922552,89.707156,Mosque Compound,770,15,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_920,Fakirganj Temple Trust Hall,Dhubri,Fakirganj,25.79422,90.053526,Temple Trust Hall,716,14,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_921,Chapar Stadium,Dhubri,Chapar,25.801354,90.044953,Stadium,897,17,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_922,Mankachar Primary School,Dhubri,Mankachar,25.554095,89.958379,Primary School,1179,23,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_923,Agamani Stadium,Dhubri,Agamani,26.087887,89.75788,Stadium,1029,20,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_924,Dharmasala Government Shelter,Dhubri,Dharmasala,25.78989,89.86882,Government Shelter,1143,22,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_925,Mankachar Primary School,Dhubri,Mankachar,25.842976,90.265013,Primary School,1434,28,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_926,Golakganj College,Dhubri,Golakganj,25.952841,89.870514,College,790,15,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_927,Kukurmara Temple Trust Hall,Dhubri,Kukurmara,25.555253,89.992156,Temple Trust Hall,1232,24,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_928,Fakirganj Primary School,Dhubri,Fakirganj,26.193222,89.747923,Primary School,415,8,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_929,Dharmasala Temple Trust Hall,Dhubri,Dharmasala,25.758043,89.748134,Temple Trust Hall,1310,26,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_930,Dharmasala High School,Dhubri,Dharmasala,26.147666,89.873384,High School,418,8,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_931,Kamarpara High School,Dhubri,Kamarpara,26.063583,90.280344,High School,262,5,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_932,Agamani Primary School,Dhubri,Agamani,25.526292,89.869654,Primary School,1435,28,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_933,Chapar Temple Trust Hall,Dhubri,Chapar,25.831209,90.047422,Temple Trust Hall,297,5,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_934,Kukurmara Stadium,Dhubri,Kukurmara,25.565115,89.852538,Stadium,172,3,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_935,Kukurmara Stadium,Dhubri,Kukurmara,26.034457,90.203845,Stadium,1480,29,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_936,Golakganj Stadium,Dhubri,Golakganj,25.701041,90.057547,Stadium,151,3,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_937,South Salmara Community Hall,Dhubri,South Salmara,26.192007,90.028564,Community Hall,360,7,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_938,Dharmasala Community Hall,Dhubri,Dharmasala,26.025457,90.269039,Community Hall,535,10,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_939,Salkocha High School,Dhubri,Salkocha,26.087325,90.086585,High School,378,7,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_940,South Salmara Community Hall,Dhubri,South Salmara,25.975543,89.728315,Community Hall,1269,25,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_941,Hatsingimari Government Shelter,Dhubri,Hatsingimari,25.849922,89.887575,Government Shelter,1207,24,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_942,Golakganj Stadium,Dhubri,Golakganj,26.038144,89.926483,Stadium,164,3,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_943,Golakganj Mosque Compound,Dhubri,Golakganj,26.14453,89.748694,Mosque Compound,674,13,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_944,Mankachar Primary School,Dhubri,Mankachar,26.114766,90.023798,Primary School,396,7,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_945,Kamarpara Community Hall,Dhubri,Kamarpara,25.511596,90.262747,Community Hall,934,18,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_946,Mankachar Community Hall,Dhubri,Mankachar,25.867504,89.955197,Community Hall,1375,27,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_947,Salkocha Mosque Compound,Dhubri,Salkocha,25.906011,90.216401,Mosque Compound,536,10,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_948,Agamani Government Shelter,Dhubri,Agamani,25.886638,89.815821,Government Shelter,119,2,No,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
ASM_RELOC_949,Salkocha College,Dhubri,Salkocha,25.713439,90.264537,College,1007,20,Yes,Designated Relief Camp,Dhubri DDMP (DDMA Dhubri / ASDMA - DUMMY)
